Unix Timestamp,Date,Time,Distance (cm),Confidence (%),Yaw,Latitude,Longitude
1703025363629,12/19/2023,1,910,100,119.92,19.6405457,-156.0085019
1703025364213,2023,2,912,100,125.56,19.6405433,-156.0084957
1703025364746,2023,4,914,100,126.98,19.640542,-156.008493
1703025365302,2023,5,911,100,128.68,19.6405389,-156.0084875
1703025365873,2023,5,915,100,128.91,19.6405358,-156.0084815
1703025366453,2023,6,912,100,130.26,19.6405335,-156.0084791
1703025367021,2023,7,910,100,126.31,19.6405293,-156.0084746
1703025367624,2023,7,912,100,125.7,19.6405258,-156.0084696
1703025368207,2023,8,917,100,124.78,19.640522,-156.008464
1703025371830,2023,11,906,100,111.47,19.640502,-156.0084396
1703025376406,2023,16,874,100,109.39,19.6404824,-156.0083994
1703025377022,2023,17,869,100,110.18,19.6404795,-156.0083938
1703025377877,2023,17,867,100,110.71,19.640477,-156.0083882
1703025378466,2023,18,853,100,109.32,19.6404741,-156.0083832
1703025379061,2023,19,844,100,111.36,19.6404709,-156.008378
1703025379624,2023,19,854,100,112.54,19.6404683,-156.0083716
1703025380224,2023,20,858,100,114.45,19.6404661,-156.0083645
1703025380852,2023,20,869,100,118.89,19.640464,-156.0083587
1703025381754,2023,21,876,100,121.43,19.6404604,-156.0083535
1703025382347,2023,22,856,100,122.7,19.6404573,-156.0083475
1703025383330,2023,23,837,100,128.49,19.6404543,-156.0083414
1703025385028,2023,25,808,100,129.04,19.6404494,-156.0083339
1703025385605,2023,25,796,100,126.99,19.6404395,-156.0083218
1703025386149,2023,26,801,100,125.25,19.640436,-156.0083167
1703025391132,2023,31,795,100,115.7,19.6404103,-156.0082795
1703025391990,2023,31,806,100,109.44,19.6404044,-156.0082718
1703025392777,2023,32,812,100,105.45,19.6404017,-156.0082671
1703025393343,2023,33,811,100,105.71,19.6403984,-156.008262
1703025393962,2023,33,815,100,109.85,19.6403955,-156.0082554
1703025394542,2023,34,833,100,109.75,19.6403928,-156.0082495
1703025395300,2023,35,850,100,111.03,19.6403912,-156.0082433
1703025395910,2023,35,869,100,116.01,19.6403891,-156.0082386
1703025396536,2023,36,875,100,117.73,19.6403857,-156.0082334
1703025397255,2023,37,872,100,118.35,19.6403821,-156.0082279
1703025397891,2023,37,864,100,116.49,19.6403786,-156.008222
1703025398536,2023,38,863,100,116.83,19.6403753,-156.0082166
1703025399193,2023,39,862,100,113.98,19.640372,-156.0082123
1703025399936,2023,39,861,100,111.82,19.6403692,-156.0082072
1703025400597,2023,40,858,100,114.52,19.6403667,-156.0082007
1703025401840,2023,41,857,100,118.13,19.6403627,-156.0081916
1703025402425,2023,42,849,100,115.65,19.6403594,-156.0081862
1703025403003,2023,43,849,100,109.45,19.640355,-156.0081821
1703025403567,2023,43,840,100,107.96,19.6403517,-156.0081765
1703025404152,2023,44,842,100,117.89,19.6403492,-156.0081692
1703025409000,2023,49,863,100,120.5,19.6403303,-156.0081362
1703025409615,2023,49,824,100,120.21,19.6403229,-156.0081265
1703025410219,2023,50,814,100,119.8,19.6403198,-156.0081212
